"","percentage","xVector","yVector","yVectorRF","yVectorSvm","yVectorRid","yVectorEns"
"1",0.02,312,296.365613288717,208.820548131974,138.505369147177,"296.375669223372",92.8284064790812
"2",0.1,1564,314.579124001969,160.522842805332,116.385933704256,"314.592897080607",89.7623108949633
"3",0.2,3128,328.077565943809,151.99458357179,117.737098591238,"327.981160974913",91.432844229411
"4",0.3,4692,323.104453935993,144.495667635785,111.496421723222,"323.008472758117",87.8347011780683
"5",0.4,6256,330.747807614201,148.643950660843,111.726042598031,"330.713619251525",88.8992545336873
"6",0.5,7821,328.14599645385,142.364245275717,113.171395144596,"328.072156865354",88.6897172903717
"7",0.6,9385,325.461852402474,140.031041573647,114.182732190166,"325.398594201161",87.8837244361062
"8",0.7,10949,329.865173732447,139.50597113881,116.659349016192,"329.821080990997",88.209149919909
"9",0.8,12513,331.387935650093,140.336370232702,112.011257835765,"331.360564116769",88.254321513211
"10",0.9,14077,325.95224029623,132.532801641919,112.053749521715,"325.885576885164",87.3800732449786
"11",1,15642,327.703703254105,138.087134411893,113.636226096401,"327.639950050152",87.6410617044021
